freq,psd_x,psd_y,psd_z,psd_xyz
156.7,3.916e+04,1.669e+05,1.577e+05,3.637e+05
158.3,3.992e+04,1.663e+05,1.692e+05,3.754e+05
159.9,4.305e+04,1.680e+05,1.702e+05,3.813e+05
161.4,4.713e+04,1.791e+05,1.649e+05,3.911e+05
163.0,5.204e+04,1.801e+05,1.746e+05,4.068e+05
164.5,6.138e+04,1.932e+05,1.899e+05,4.444e+05
166.1,6.847e+04,2.010e+05,1.911e+05,4.606e+05
167.6,7.451e+04,1.988e+05,2.007e+05,4.740e+05
169.2,7.983e+04,2.064e+05,2.211e+05,5.074e+05
170.7,8.079e+04,2.114e+05,2.193e+05,5.116e+05
172.3,8.558e+04,2.056e+05,2.319e+05,5.230e+05
173.8,8.746e+04,2.005e+05,2.431e+05,5.311e+05
175.4,8.626e+04,1.935e+05,2.572e+05,5.370e+05
176.9,9.071e+04,1.958e+05,2.707e+05,5.572e+05
178.5,9.733e+04,2.037e+05,2.693e+05,5.704e+05
180.0,9.264e+04,1.902e+05,2.637e+05,5.466e+05
181.6,9.515e+04,2.019e+05,2.927e+05,5.897e+05
183.1,9.566e+04,2.006e+05,2.923e+05,5.886e+05
184.7,9.021e+04,1.705e+05,2.878e+05,5.485e+05
186.2,9.219e+04,1.638e+05,2.653e+05,5.213e+05
187.8,9.383e+04,1.569e+05,2.492e+05,4.999e+05
189.3,9.047e+04,1.324e+05,2.548e+05,4.777e+05
190.9,9.502e+04,1.498e+05,2.526e+05,4.974e+05
192.4,9.417e+04,1.586e+05,2.422e+05,4.949e+05
194.0,8.967e+04,1.693e+05,2.552e+05,5.142e+05
195.5,8.352e+04,1.727e+05,2.452e+05,5.014e+05
197.1,8.084e+04,1.566e+05,2.394e+05,4.768e+05
198.6,3.823e+04,7.074e+04,1.240e+05,2.329e+05
